Designator,Mid X,Mid Y,Rotation,Layer
C1,8.280000,-17.280000,90.000000,Top
C2,6.280000,-17.280000,90.000000,Top
C3,28.780000,-16.530000,90.000000,Top
C4,7.280000,-2.530000,90.000000,Top
D1,27.030000,-3.030000,90.000000,Top
D2,6.780000,-8.280000,90.000000,Top
J1,15.000000,-16.852500,0.000000,Top
R1,27.030000,-6.530000,90.000000,Top
R2,4.780000,-8.280000,90.000000,Top
R3,27.030000,-10.030000,90.000000,Top
R4,1.280000,-2.780000,90.000000,Top
R5,7.530000,-20.030000,0.000000,Top
R6,4.280000,-18.280000,90.000000,Top
SW1,4.300000,-3.600000,90.000000,Top
U1,15.000000,-5.600000,0.000000,Top
U2,24.400000,-17.200000,270.000000,Top
