ts	cpu_cores_busy	mem_used_kib	mem_avail_kib	swap_used_kib	load1	docker
2026-09-06T13:10:36	0.02	2248020	29459684	0	0.06	
2026-09-06T13:10:37	0.08	2254056	29453648	0	0.06	
2026-09-06T13:10:39	0.15	2247296	29460408	0	0.06	
2026-09-06T13:10:40	0.09	2240496	29467208	0	0.06	
2026-09-06T13:10:41	0.10	2246532	29461172	0	0.06	
2026-09-06T13:10:42	0.10	2239912	29467792	0	0.06	
2026-09-06T13:10:43	0.09	2235548	29472156	0	0.06	
2026-09-06T13:10:44	0.09	2233944	29473760	0	0.05	
2026-09-06T13:10:46	0.12	2230200	29477504	0	0.05	
2026-09-06T13:10:47	0.10	2225464	29482240	0	0.05	
2026-09-06T13:10:48	0.10	2232656	29475048	0	0.05	
2026-09-06T13:10:49	0.09	2228944	29478760	0	0.05	
2026-09-06T13:10:50	0.12	2239688	29468016	0	0.05	
2026-09-06T13:10:51	0.18	2240368	29467336	0	0.05	
2026-09-06T13:10:52	0.47	2247752	29459952	0	0.05	
2026-09-06T13:10:54	0.09	2249496	29458208	0	0.05	
2026-09-06T13:10:55	0.09	2249208	29458496	0	0.05	
2026-09-06T13:10:56	0.09	2252308	29455396	0	0.05	
2026-09-06T13:10:57	0.09	2247232	29460472	0	0.05	
2026-09-06T13:10:58	0.09	2252736	29454968	0	0.05	
2026-09-06T13:10:59	0.09	2246368	29461336	0	0.04	
2026-09-06T13:11:00	0.10	2241148	29466556	0	0.04	
2026-09-06T13:11:02	0.10	2235892	29471812	0	0.04	
2026-09-06T13:11:03	0.10	2236848	29470856	0	0.04	
2026-09-06T13:11:04	0.09	2242128	29465576	0	0.04	
2026-09-06T13:11:05	0.09	2235388	29472316	0	0.04	
2026-09-06T13:11:06	0.10	2242684	29465020	0	0.04	
2026-09-06T13:11:07	0.09	2242044	29465660	0	0.04	
2026-09-06T13:11:09	0.08	2237624	29470080	0	0.04	
2026-09-06T13:11:10	0.09	2241640	29466064	0	0.04	
2026-09-06T13:11:11	0.09	2234732	29472972	0	0.04	
2026-09-06T13:11:12	0.14	2241564	29466140	0	0.04	
2026-09-06T13:11:13	0.09	2248904	29458800	0	0.04	
2026-09-06T13:11:14	0.09	2254408	29453296	0	0.03	
2026-09-06T13:11:15	0.10	2249384	29458320	0	0.03	
2026-09-06T13:11:17	0.08	2243032	29464672	0	0.03	
2026-09-06T13:11:18	0.11	2236180	29471524	0	0.03	
2026-09-06T13:11:19	0.10	2236188	29471516	0	0.03	
2026-09-06T13:11:20	0.10	2238284	29469420	0	0.03	
2026-09-06T13:11:21	0.09	2231084	29476620	0	0.03	
2026-09-06T13:11:22	0.16	2233148	29474556	0	0.03	
2026-09-06T13:11:24	0.09	2238392	29469312	0	0.03	
2026-09-06T13:11:25	0.10	2237364	29470340	0	0.03	
2026-09-06T13:11:26	0.10	2229304	29478400	0	0.03	
2026-09-06T13:11:27	0.10	2234328	29473376	0	0.03	
2026-09-06T13:11:28	0.09	2238928	29468776	0	0.03	
2026-09-06T13:11:29	0.09	2233392	29474312	0	0.02	
2026-09-06T13:11:30	0.09	2238748	29468956	0	0.02	
2026-09-06T13:11:32	0.10	2233408	29474296	0	0.02	
2026-09-06T13:11:33	0.10	2223264	29484440	0	0.02	
2026-09-06T13:11:34	0.13	2231864	29475840	0	0.02	
2026-09-06T13:11:36	2.07	2310272	29397432	0	0.02	ecstatic_yalow=178.02%/62.96MiB / 30.24GiB;
2026-09-06T13:11:37	1.50	2296868	29410836	0	0.02	
