ts	cpu_cores_busy	mem_used_kib	mem_avail_kib	swap_used_kib	load1	docker
2026-09-06T12:54:51	0.01	2008360	29699344	0	0.00	
2026-09-06T12:54:52	0.09	2006916	29700788	0	0.00	
2026-09-06T12:54:53	0.10	2007356	29700348	0	0.00	
2026-09-06T12:54:54	0.08	2007932	29699772	0	0.08	
2026-09-06T12:54:55	0.12	2006996	29700708	0	0.08	
2026-09-06T12:54:57	0.10	2008628	29699076	0	0.08	
2026-09-06T12:54:58	0.09	2015344	29692360	0	0.08	
2026-09-06T12:54:59	0.09	2011756	29695948	0	0.07	
2026-09-06T12:55:00	0.09	2006956	29700748	0	0.07	
2026-09-06T12:55:01	0.10	2004924	29702780	0	0.07	
2026-09-06T12:55:02	0.09	2012464	29695240	0	0.07	
2026-09-06T12:55:04	0.09	2013952	29693752	0	0.07	
2026-09-06T12:55:05	0.09	2012280	29695424	0	0.07	
2026-09-06T12:55:06	0.09	1998756	29708948	0	0.07	
2026-09-06T12:55:07	0.09	2007744	29699960	0	0.07	
2026-09-06T12:55:08	0.14	2012616	29695088	0	0.07	
2026-09-06T12:55:09	0.08	2011512	29696192	0	0.06	
2026-09-06T12:55:10	0.11	2012108	29695596	0	0.06	
2026-09-06T12:55:12	0.09	2005804	29701900	0	0.06	
2026-09-06T12:55:13	0.09	2002296	29705408	0	0.06	
2026-09-06T12:55:14	0.09	1998400	29709304	0	0.06	
2026-09-06T12:55:15	0.09	2004276	29703428	0	0.06	
2026-09-06T12:55:16	0.10	1998956	29708748	0	0.06	
2026-09-06T12:55:17	0.09	2000552	29707152	0	0.06	
2026-09-06T12:55:19	0.08	2005552	29702152	0	0.05	
2026-09-06T12:55:20	0.10	2007880	29699824	0	0.05	
2026-09-06T12:55:21	0.09	2003720	29703984	0	0.05	
2026-09-06T12:55:22	0.10	2009712	29697992	0	0.05	
2026-09-06T12:55:23	0.10	2005284	29702420	0	0.05	
2026-09-06T12:55:24	0.10	2000904	29706800	0	0.05	
2026-09-06T12:55:25	0.08	1998912	29708792	0	0.05	
2026-09-06T12:55:27	0.09	1999512	29708192	0	0.05	
2026-09-06T12:55:28	0.11	1999248	29708456	0	0.05	
2026-09-06T12:55:29	0.08	2008460	29699244	0	0.04	
2026-09-06T12:55:30	0.10	2004844	29702860	0	0.04	
2026-09-06T12:55:31	0.09	2001852	29705852	0	0.04	
2026-09-06T12:55:32	0.10	2001624	29706080	0	0.04	
2026-09-06T12:55:33	0.09	1999020	29708684	0	0.04	
2026-09-06T12:55:35	0.09	1998252	29709452	0	0.04	
