ts	cpu_cores_busy	mem_used_kib	mem_avail_kib	swap_used_kib	load1	docker
2026-09-06T14:08:18	1.06	2626180	29081524	32	0.03	
2026-09-06T14:08:19	1.13	2692036	29015668	32	0.11	
2026-09-06T14:08:21	1.10	2771668	28936036	32	0.11	
2026-09-06T14:08:22	1.12	2829972	28877732	32	0.11	
2026-09-06T14:08:23	1.11	2882816	28824888	32	0.11	
2026-09-06T14:08:25	1.90	2944876	28762828	32	0.11	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=100.12%/38.56MiB / 8GiB;
2026-09-06T14:08:27	1.17	2997828	28709876	32	0.18	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=100.08%/110.8MiB / 8GiB;
2026-09-06T14:08:29	1.25	3061812	28645892	32	0.18	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=100.20%/154MiB / 8GiB;
2026-09-06T14:08:32	1.15	3146648	28561056	32	0.25	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=100.12%/219.4MiB / 8GiB;
2026-09-06T14:08:34	1.14	3182140	28525564	32	0.25	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=100.04%/256.2MiB / 8GiB;
2026-09-06T14:08:36	1.15	3223044	28484660	32	0.31	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=100.15%/299.2MiB / 8GiB;
2026-09-06T14:08:38	1.15	3255772	28451932	32	0.31	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=163.88%/389.2MiB / 8GiB;
2026-09-06T14:08:40	2.28	3457172	28250532	32	0.31	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=439.31%/593.8MiB / 8GiB;
2026-09-06T14:08:42	6.58	3700588	28007116	32	1.08	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=709.40%/661.2MiB / 8GiB;
2026-09-06T14:08:44	5.63	3699920	28007784	32	1.08	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=225.85%/689.7MiB / 8GiB;
2026-09-06T14:08:47	2.72	3709500	27998204	32	1.40	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=231.10%/707.5MiB / 8GiB;
2026-09-06T14:08:49	2.58	3694476	28013228	32	1.40	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=104.08%/759.4MiB / 8GiB;
2026-09-06T14:08:51	1.33	3695628	28012076	32	1.44	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=103.84%/816.5MiB / 8GiB;
2026-09-06T14:08:53	1.19	3734304	27973400	32	1.44	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=106.53%/826.9MiB / 8GiB;
2026-09-06T14:08:55	1.26	3740584	27967120	32	1.41	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=126.79%/827.7MiB / 8GiB;
2026-09-06T14:08:57	1.30	3705740	28001964	32	1.41	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=105.39%/848.7MiB / 8GiB;
2026-09-06T14:09:00	1.20	3702360	28005344	32	1.41	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=105.50%/887.8MiB / 8GiB;
2026-09-06T14:09:02	1.21	3756628	27951076	32	1.38	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=105.89%/955.4MiB / 8GiB;
2026-09-06T14:09:04	1.18	3770936	27936768	32	1.38	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=102.78%/915.9MiB / 8GiB;
2026-09-06T14:09:06	1.18	3905472	27802232	32	1.35	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=105.02%/912.8MiB / 8GiB;
2026-09-06T14:09:08	1.16	3871672	27836032	32	1.35	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=104.89%/912.8MiB / 8GiB;
2026-09-06T14:09:10	1.18	3836476	27871228	32	1.56	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=104.92%/912.6MiB / 8GiB;
2026-09-06T14:09:12	1.16	3810236	27897468	32	1.56	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=104.58%/912.6MiB / 8GiB;
2026-09-06T14:09:15	1.20	3763260	27944444	32	1.56	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=135.66%/960.1MiB / 8GiB;
2026-09-06T14:09:17	1.49	3981904	27725800	32	1.59	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=408.23%/1.055GiB / 8GiB;
2026-09-06T14:09:19	3.27	3955776	27751928	32	1.59	agent-server-029bfb15-5622-4ce7-9fe9-70f89a26fb47=115.27%/1.105GiB / 8GiB;
