Designator,Mid X,Mid Y,Rotation,Layer
C1,7.530000,-20.280000,0.000000,Top
C2,7.530000,-22.280000,0.000000,Top
C3,9.280000,-14.780000,0.000000,Top
C4,7.280000,-2.530000,90.000000,Top
C5,16.530000,-14.780000,0.000000,Top
C6,23.030000,-4.030000,90.000000,Top
D1,11.780000,-12.780000,0.000000,Top
J1,15.000000,-19.852500,0.000000,Top
R1,21.530000,-21.280000,90.000000,Top
R2,27.530000,-17.530000,90.000000,Top
R3,28.280000,-13.530000,90.000000,Top
R4,13.280000,-15.030000,0.000000,Top
R5,23.280000,-19.780000,90.000000,Top
R6,8.780000,-17.280000,90.000000,Top
SW1,24.050000,-9.050000,90.000000,Top
SW2,4.550000,-7.800000,0.000000,Top
U1,15.000000,-5.600000,0.000000,Top
U2,4.150000,-14.700000,270.000000,Top
U3,15.000000,-13.050000,0.000000,Top
